"","Request.id","Pickup.point","Driver.id","Status","Request.timestamp","Drop.timestamp","Request.Time","Drop.Time"
"1",619,"Airport",1,"Trip Completed",2016-07-11 11:51:00,2016-07-11 13:00:00,"11:51:00","13:00:00"
"2",867,"Airport",1,"Trip Completed",2016-07-11 17:57:00,2016-07-11 18:47:00,"17:57:00","18:47:00"
"3",1807,"City",1,"Trip Completed",2016-07-12 09:17:00,2016-07-12 09:58:00,"09:17:00","09:58:00"
"4",2532,"Airport",1,"Trip Completed",2016-07-12 21:08:00,2016-07-12 22:03:00,"21:08:00","22:03:00"
"5",3112,"City",1,"Trip Completed",2016-07-13 08:33:16,2016-07-13 09:25:47,"08:33:16","09:25:47"
"6",3879,"Airport",1,"Trip Completed",2016-07-13 21:57:28,2016-07-13 22:28:59,"21:57:28","22:28:59"
"7",4270,"Airport",1,"Trip Completed",2016-07-14 06:15:32,2016-07-14 07:13:15,"06:15:32","07:13:15"
"8",5510,"Airport",1,"Trip Completed",2016-07-15 05:11:52,2016-07-15 06:07:52,"05:11:52","06:07:52"
"9",6248,"City",1,"Trip Completed",2016-07-15 17:57:27,2016-07-15 18:50:51,"17:57:27","18:50:51"
"10",267,"City",2,"Trip Completed",2016-07-11 06:46:00,2016-07-11 07:25:00,"06:46:00","07:25:00"
"11",1467,"Airport",2,"Trip Completed",2016-07-12 05:08:00,2016-07-12 06:02:00,"05:08:00","06:02:00"
"12",1983,"City",2,"Trip Completed",2016-07-12 12:30:00,2016-07-12 12:57:00,"12:30:00","12:57:00"
"13",2784,"Airport",2,"Trip Completed",2016-07-13 04:49:20,2016-07-13 05:23:03,"04:49:20","05:23:03"
"14",3075,"City",2,"Trip Completed",2016-07-13 08:02:53,2016-07-13 09:16:19,"08:02:53","09:16:19"
"15",3379,"City",2,"Trip Completed",2016-07-13 14:23:02,2016-07-13 15:35:18,"14:23:02","15:35:18"
"16",3482,"Airport",2,"Trip Completed",2016-07-13 17:23:18,2016-07-13 18:20:51,"17:23:18","18:20:51"
"17",4652,"City",2,"Trip Completed",2016-07-14 12:01:02,2016-07-14 12:36:46,"12:01:02","12:36:46"
"18",5335,"Airport",2,"Trip Completed",2016-07-14 22:24:13,2016-07-14 23:18:52,"22:24:13","23:18:52"
"19",535,"Airport",3,"Trip Completed",2016-07-11 10:00:00,2016-07-11 10:31:00,"10:00:00","10:31:00"
"20",960,"Airport",3,"Trip Completed",2016-07-11 18:45:00,2016-07-11 19:23:00,"18:45:00","19:23:00"
"21",1934,"Airport",3,"Trip Completed",2016-07-12 11:17:00,2016-07-12 12:23:00,"11:17:00","12:23:00"
"22",2083,"Airport",3,"Trip Completed",2016-07-12 15:46:00,2016-07-12 16:40:00,"15:46:00","16:40:00"
"23",2211,"Airport",3,"Trip Completed",2016-07-12 18:00:00,2016-07-12 18:28:00,"18:00:00","18:28:00"
"24",3096,"Airport",3,"Trip Completed",2016-07-13 08:17:29,2016-07-13 09:22:37,"08:17:29","09:22:37"
"25",3881,"Airport",3,"Trip Completed",2016-07-13 21:54:18,2016-07-13 22:51:23,"21:54:18","22:51:23"
"26",5254,"City",3,"Trip Completed",2016-07-14 21:23:03,2016-07-14 22:25:19,"21:23:03","22:25:19"
"27",5434,"City",3,"Trip Completed",2016-07-15 02:41:38,2016-07-15 03:24:43,"02:41:38","03:24:43"
"28",5916,"City",3,"Trip Completed",2016-07-15 10:00:43,2016-07-15 10:53:06,"10:00:43","10:53:06"
"29",669,"City",4,"Trip Completed",2016-07-11 13:08:00,2016-07-11 13:49:00,"13:08:00","13:49:00"
"30",1567,"Airport",4,"Trip Completed",2016-07-12 06:21:00,2016-07-12 07:10:00,"06:21:00","07:10:00"
"31",1826,"City",4,"Trip Completed",2016-07-12 09:27:00,2016-07-12 10:27:00,"09:27:00","10:27:00"
"32",2102,"City",4,"Trip Completed",2016-07-12 16:09:00,2016-07-12 17:01:00,"16:09:00","17:01:00"
"33",2847,"Airport",4,"Trip Completed",2016-07-13 05:34:20,2016-07-13 06:09:59,"05:34:20","06:09:59"
"34",3722,"Airport",4,"Trip Completed",2016-07-13 19:57:59,2016-07-13 20:32:04,"19:57:59","20:32:04"
"35",4075,"City",4,"Trip Completed",2016-07-14 02:17:35,2016-07-14 03:21:38,"02:17:35","03:21:38"
"36",4686,"City",4,"Trip Completed",2016-07-14 13:01:10,2016-07-14 13:45:28,"13:01:10","13:45:28"
"37",5771,"Airport",4,"Trip Completed",2016-07-15 08:30:06,2016-07-15 09:37:20,"08:30:06","09:37:20"
"38",6106,"Airport",4,"Trip Completed",2016-07-15 15:01:20,2016-07-15 15:47:31,"15:01:20","15:47:31"
"39",312,"City",5,"Trip Completed",2016-07-11 07:27:00,2016-07-11 08:31:00,"07:27:00","08:31:00"
"40",577,"Airport",5,"Trip Completed",2016-07-11 11:03:00,2016-07-11 12:01:00,"11:03:00","12:01:00"
"41",1179,"City",5,"Trip Completed",2016-07-11 20:58:00,2016-07-11 21:45:00,"20:58:00","21:45:00"
"42",1756,"Airport",5,"Trip Completed",2016-07-12 08:40:00,2016-07-12 09:23:00,"08:40:00","09:23:00"
"43",2052,"City",5,"Trip Completed",2016-07-12 14:48:00,2016-07-12 15:50:00,"14:48:00","15:50:00"
"44",2559,"City",5,"Trip Completed",2016-07-12 21:32:00,2016-07-12 22:29:00,"21:32:00","22:29:00"
"45",3014,"City",5,"Trip Completed",2016-07-13 07:28:14,2016-07-13 08:29:47,"07:28:14","08:29:47"
"46",3317,"City",5,"Trip Completed",2016-07-13 12:14:27,2016-07-13 12:46:38,"12:14:27","12:46:38"
"47",4297,"City",5,"Trip Completed",2016-07-14 06:43:01,2016-07-14 07:49:38,"06:43:01","07:49:38"
"48",5857,"Airport",5,"Trip Completed",2016-07-15 09:08:50,2016-07-15 10:07:07,"09:08:50","10:07:07"
"49",6690,"Airport",5,"Trip Completed",2016-07-15 22:41:41,2016-07-15 23:51:00,"22:41:41","23:51:00"
"50",1517,"Airport",6,"Trip Completed",2016-07-12 05:45:00,2016-07-12 06:28:00,"05:45:00","06:28:00"
"51",1999,"Airport",6,"Trip Completed",2016-07-12 13:02:00,2016-07-12 13:51:00,"13:02:00","13:51:00"
"52",2960,"Airport",6,"Trip Completed",2016-07-13 06:50:33,2016-07-13 07:40:35,"06:50:33","07:40:35"
"53",3882,"City",6,"Trip Completed",2016-07-13 21:53:03,2016-07-13 22:45:24,"21:53:03","22:45:24"
"54",4081,"Airport",6,"Trip Completed",2016-07-14 02:37:14,2016-07-14 03:30:27,"02:37:14","03:30:27"
"55",4740,"City",6,"Trip Completed",2016-07-14 14:50:07,2016-07-14 15:38:14,"14:50:07","15:38:14"
"56",5270,"City",6,"Trip Completed",2016-07-14 21:33:55,2016-07-14 22:25:43,"21:33:55","22:25:43"
"57",6758,"Airport",6,"Trip Completed",2016-07-15 00:03:39,2016-07-15 01:07:39,"00:03:39","01:07:39"
"58",5741,"City",6,"Trip Completed",2016-07-15 07:52:51,2016-07-15 08:38:55,"07:52:51","08:38:55"
"59",6087,"Airport",6,"Trip Completed",2016-07-15 14:28:50,2016-07-15 15:33:53,"14:28:50","15:33:53"
"60",1039,"City",7,"Trip Completed",2016-07-11 19:31:00,2016-07-11 20:41:00,"19:31:00","20:41:00"
"61",1273,"Airport",7,"Trip Completed",2016-07-11 22:07:00,2016-07-11 23:12:00,"22:07:00","23:12:00"
"62",2480,"City",7,"Trip Completed",2016-07-12 20:39:00,2016-07-12 21:28:00,"20:39:00","21:28:00"
"63",4105,"City",7,"Trip Completed",2016-07-14 03:39:38,2016-07-14 04:39:04,"03:39:38","04:39:04"
"64",4509,"City",7,"Trip Completed",2016-07-14 09:11:13,2016-07-14 10:17:01,"09:11:13","10:17:01"
"65",4986,"Airport",7,"Trip Completed",2016-07-14 18:52:32,2016-07-14 19:50:57,"18:52:32","19:50:57"
"66",5898,"City",7,"Trip Completed",2016-07-15 09:50:28,2016-07-15 10:40:39,"09:50:28","10:40:39"
"67",6142,"Airport",7,"Trip Completed",2016-07-15 15:50:15,2016-07-15 16:36:56,"15:50:15","16:36:56"
"68",380,"Airport",8,"Trip Completed",2016-07-11 08:18:00,2016-07-11 09:18:00,"08:18:00","09:18:00"
"69",1050,"Airport",8,"Trip Completed",2016-07-11 19:39:00,2016-07-11 20:30:00,"19:39:00","20:30:00"
"70",1769,"City",8,"Trip Completed",2016-07-12 08:57:00,2016-07-12 09:24:00,"08:57:00","09:24:00"
"71",2520,"City",8,"Trip Completed",2016-07-12 21:05:00,2016-07-12 22:20:00,"21:05:00","22:20:00"
"72",3265,"Airport",8,"Trip Completed",2016-07-13 10:22:07,2016-07-13 11:07:02,"10:22:07","11:07:02"
"73",4648,"City",8,"Trip Completed",2016-07-14 11:55:10,2016-07-14 12:59:34,"11:55:10","12:59:34"
"74",449,"Airport",9,"Trip Completed",2016-07-11 09:08:00,2016-07-11 09:52:00,"09:08:00","09:52:00"
"75",846,"Airport",9,"Trip Completed",2016-07-11 17:46:00,2016-07-11 18:52:00,"17:46:00","18:52:00"
"76",1346,"Airport",9,"Trip Completed",2016-07-11 23:39:00,2016-07-12 00:23:00,"23:39:00","00:23:00"
"77",1474,"Airport",9,"Trip Completed",2016-07-12 05:13:00,2016-07-12 05:56:00,"05:13:00","05:56:00"
"78",2240,"City",9,"Trip Completed",2016-07-12 18:20:00,2016-07-12 18:54:00,"18:20:00","18:54:00"
"79",3072,"Airport",9,"Trip Completed",2016-07-13 08:04:57,2016-07-13 08:36:37,"08:04:57","08:36:37"
"80",3459,"Airport",9,"Trip Completed",2016-07-13 17:03:30,2016-07-13 17:31:49,"17:03:30","17:31:49"
"81",3774,"Airport",9,"Trip Completed",2016-07-13 20:41:24,2016-07-13 21:27:29,"20:41:24","21:27:29"
"82",4023,"City",9,"Trip Completed",2016-07-13 23:58:41,2016-07-14 00:58:39,"23:58:41","00:58:39"
"83",4117,"City",9,"Trip Completed",2016-07-14 04:21:42,2016-07-14 05:07:07,"04:21:42","05:07:07"
"84",4880,"Airport",9,"Trip Completed",2016-07-14 17:58:46,2016-07-14 19:02:42,"17:58:46","19:02:42"
"85",5568,"Airport",9,"Trip Completed",2016-07-15 05:47:49,2016-07-15 06:25:49,"05:47:49","06:25:49"
"86",5994,"Airport",9,"Trip Completed",2016-07-15 11:51:16,2016-07-15 12:32:12,"11:51:16","12:32:12"
"87",1809,"Airport",10,"Trip Completed",2016-07-12 09:13:00,2016-07-12 10:01:00,"09:13:00","10:01:00"
"88",2064,"Airport",10,"Trip Completed",2016-07-12 15:08:00,2016-07-12 16:14:00,"15:08:00","16:14:00"
"89",3210,"City",10,"Trip Completed",2016-07-13 09:47:06,2016-07-13 10:52:37,"09:47:06","10:52:37"
"90",4350,"City",10,"Trip Completed",2016-07-14 07:24:43,2016-07-14 08:22:09,"07:24:43","08:22:09"
"91",4713,"City",10,"Trip Completed",2016-07-14 13:31:24,2016-07-14 14:10:56,"13:31:24","14:10:56"
"92",5629,"Airport",10,"Trip Completed",2016-07-15 06:33:00,2016-07-15 07:19:53,"06:33:00","07:19:53"
"93",6157,"Airport",10,"Trip Completed",2016-07-15 16:32:51,2016-07-15 17:44:44,"16:32:51","17:44:44"
"94",2030,"City",11,"Trip Completed",2016-07-12 14:11:00,2016-07-12 15:02:00,"14:11:00","15:02:00"
"95",3226,"City",11,"Trip Completed",2016-07-13 10:00:17,2016-07-13 11:02:52,"10:00:17","11:02:52"
"96",3353,"City",11,"Trip Completed",2016-07-13 13:29:44,2016-07-13 14:09:00,"13:29:44","14:09:00"
"97",4293,"City",11,"Trip Completed",2016-07-14 06:42:36,2016-07-14 07:12:41,"06:42:36","07:12:41"
"98",4936,"City",11,"Trip Completed",2016-07-14 18:22:17,2016-07-14 19:14:36,"18:22:17","19:14:36"
"99",5661,"Airport",11,"Trip Completed",2016-07-15 07:08:50,2016-07-15 07:59:00,"07:08:50","07:59:00"
"100",5778,"City",11,"Trip Completed",2016-07-15 08:22:03,2016-07-15 09:13:04,"08:22:03","09:13:04"
"101",6425,"Airport",11,"Trip Completed",2016-07-15 19:46:40,2016-07-15 20:26:51,"19:46:40","20:26:51"
"102",45,"Airport",12,"Trip Completed",2016-07-11 03:17:00,2016-07-11 04:09:00,"03:17:00","04:09:00"
"103",264,"City",12,"Trip Completed",2016-07-11 06:51:00,2016-07-11 07:40:00,"06:51:00","07:40:00"
"104",1183,"City",12,"Trip Completed",2016-07-11 21:05:00,2016-07-11 21:38:00,"21:05:00","21:38:00"
"105",1536,"Airport",12,"Trip Completed",2016-07-12 05:59:00,2016-07-12 06:59:00,"05:59:00","06:59:00"
"106",2437,"City",12,"Trip Completed",2016-07-12 20:18:00,2016-07-12 21:26:00,"20:18:00","21:26:00"
"107",2641,"Airport",12,"Trip Completed",2016-07-12 22:28:00,2016-07-12 23:05:00,"22:28:00","23:05:00"
"108",4077,"Airport",12,"Trip Completed",2016-07-14 02:14:15,2016-07-14 03:13:09,"02:14:15","03:13:09"
"109",4610,"City",12,"Trip Completed",2016-07-14 10:35:14,2016-07-14 11:39:01,"10:35:14","11:39:01"
"110",5066,"Airport",12,"Trip Completed",2016-07-14 19:31:20,2016-07-14 20:14:03,"19:31:20","20:14:03"
"111",5666,"Airport",12,"Trip Completed",2016-07-15 07:04:55,2016-07-15 08:12:37,"07:04:55","08:12:37"
"112",5923,"City",12,"Trip Completed",2016-07-15 10:07:49,2016-07-15 10:50:50,"10:07:49","10:50:50"
"113",6367,"City",12,"Trip Completed",2016-07-15 19:04:46,2016-07-15 19:46:04,"19:04:46","19:46:04"
"114",155,"City",13,"Trip Completed",2016-07-11 05:32:00,2016-07-11 06:28:00,"05:32:00","06:28:00"
"115",310,"Airport",13,"Trip Completed",2016-07-11 07:24:00,2016-07-11 08:28:00,"07:24:00","08:28:00"
"116",607,"City",13,"Trip Completed",2016-07-11 11:51:00,2016-07-11 12:42:00,"11:51:00","12:42:00"
"117",1012,"City",13,"Trip Completed",2016-07-11 19:15:00,2016-07-11 19:57:00,"19:15:00","19:57:00"
"118",1696,"Airport",13,"Trip Completed",2016-07-12 08:01:00,2016-07-12 08:42:00,"08:01:00","08:42:00"
"119",3076,"City",13,"Trip Completed",2016-07-13 08:09:04,2016-07-13 09:12:19,"08:09:04","09:12:19"
"120",4198,"Airport",13,"Trip Completed",2016-07-14 05:32:14,2016-07-14 06:45:32,"05:32:14","06:45:32"
"121",4627,"City",13,"Trip Completed",2016-07-14 11:13:19,2016-07-14 12:00:12,"11:13:19","12:00:12"
"122",5289,"City",13,"Trip Completed",2016-07-14 21:43:24,2016-07-14 22:24:13,"21:43:24","22:24:13"
"123",5495,"Airport",13,"Trip Completed",2016-07-15 05:00:13,2016-07-15 06:02:27,"05:00:13","06:02:27"
"124",6656,"Airport",13,"Trip Completed",2016-07-15 22:08:42,2016-07-15 22:41:18,"22:08:42","22:41:18"
"125",139,"Airport",14,"Trip Completed",2016-07-11 05:21:00,2016-07-11 06:09:00,"05:21:00","06:09:00"
"126",215,"City",14,"Trip Completed",2016-07-11 06:15:00,2016-07-11 07:07:00,"06:15:00","07:07:00"
"127",1816,"City",14,"Trip Completed",2016-07-12 09:24:00,2016-07-12 10:07:00,"09:24:00","10:07:00"
"128",2505,"Airport",14,"Trip Completed",2016-07-12 21:03:00,2016-07-12 22:14:00,"21:03:00","22:14:00"
"129",3346,"City",14,"Trip Completed",2016-07-13 13:01:42,2016-07-13 13:55:59,"13:01:42","13:55:59"
"130",5294,"City",14,"Trip Completed",2016-07-14 21:45:50,2016-07-14 22:16:40,"21:45:50","22:16:40"
"131",6226,"Airport",14,"Trip Completed",2016-07-15 17:34:25,2016-07-15 18:33:13,"17:34:25","18:33:13"
"132",6733,"Airport",14,"Trip Completed",2016-07-15 23:32:44,2016-07-16 00:37:46,"23:32:44","00:37:46"
"133",1027,"Airport",15,"Trip Completed",2016-07-11 19:18:00,2016-07-11 20:24:00,"19:18:00","20:24:00"
"134",2675,"Airport",15,"Trip Completed",2016-07-12 23:43:00,2016-07-13 00:35:12,"23:43:00","00:35:12"
"135",3200,"City",15,"Trip Completed",2016-07-13 09:39:44,2016-07-13 10:30:58,"09:39:44","10:30:58"
"136",3865,"City",15,"Trip Completed",2016-07-13 21:52:05,2016-07-13 22:21:15,"21:52:05","22:21:15"
"137",4468,"City",15,"Trip Completed",2016-07-14 08:42:46,2016-07-14 09:22:01,"08:42:46","09:22:01"
"138",5163,"Airport",15,"Trip Completed",2016-07-14 20:34:30,2016-07-14 21:05:18,"20:34:30","21:05:18"
"139",6009,"City",15,"Trip Completed",2016-07-15 12:22:35,2016-07-15 13:25:27,"12:22:35","13:25:27"
"140",6448,"Airport",15,"Trip Completed",2016-07-15 20:02:54,2016-07-15 20:40:45,"20:02:54","20:40:45"
"141",591,"City",16,"Trip Completed",2016-07-11 11:25:00,2016-07-11 12:31:00,"11:25:00","12:31:00"
"142",709,"City",16,"Trip Completed",2016-07-11 14:16:00,2016-07-11 15:03:00,"14:16:00","15:03:00"
"143",1167,"Airport",16,"Trip Completed",2016-07-11 20:50:00,2016-07-11 21:52:00,"20:50:00","21:52:00"
"144",2661,"Airport",16,"Trip Completed",2016-07-12 23:23:00,2016-07-13 00:27:21,"23:23:00","00:27:21"
"145",2808,"City",16,"Trip Completed",2016-07-13 05:05:16,2016-07-13 05:56:11,"05:05:16","05:56:11"
"146",3258,"Airport",16,"Trip Completed",2016-07-13 10:12:51,2016-07-13 10:45:28,"10:12:51","10:45:28"
"147",3413,"Airport",16,"Trip Completed",2016-07-13 15:32:01,2016-07-13 16:45:44,"15:32:01","16:45:44"
"148",3939,"Airport",16,"Trip Completed",2016-07-13 22:26:26,2016-07-13 22:55:54,"22:26:26","22:55:54"
"149",4125,"City",16,"Trip Completed",2016-07-14 04:37:11,2016-07-14 05:46:29,"04:37:11","05:46:29"
"150",4457,"City",16,"Trip Completed",2016-07-14 08:36:24,2016-07-14 09:19:20,"08:36:24","09:19:20"
"151",4728,"City",16,"Trip Completed",2016-07-14 14:04:13,2016-07-14 15:06:40,"14:04:13","15:06:40"
"152",5347,"Airport",16,"Trip Completed",2016-07-14 22:51:47,2016-07-14 23:53:42,"22:51:47","23:53:42"
"153",6147,"City",16,"Trip Completed",2016-07-15 16:11:02,2016-07-15 17:30:08,"16:11:02","17:30:08"
"154",6496,"Airport",16,"Trip Completed",2016-07-15 20:33:00,2016-07-15 21:32:49,"20:33:00","21:32:49"
"155",634,"City",17,"Trip Completed",2016-07-11 12:25:00,2016-07-11 13:06:00,"12:25:00","13:06:00"
"156",939,"Airport",17,"Trip Completed",2016-07-11 18:25:00,2016-07-11 19:26:00,"18:25:00","19:26:00"
"157",2628,"Airport",17,"Trip Completed",2016-07-12 22:10:00,2016-07-12 23:25:00,"22:10:00","23:25:00"
"158",3021,"City",17,"Trip Completed",2016-07-13 07:33:20,2016-07-13 08:26:07,"07:33:20","08:26:07"
"159",4743,"City",17,"Trip Completed",2016-07-14 14:54:16,2016-07-14 15:39:03,"14:54:16","15:39:03"
"160",4981,"City",17,"Trip Completed",2016-07-14 18:47:42,2016-07-14 19:43:44,"18:47:42","19:43:44"
"161",5367,"Airport",17,"Trip Completed",2016-07-14 23:35:34,2016-07-15 00:25:26,"23:35:34","00:25:26"
"162",5471,"Airport",17,"Trip Completed",2016-07-15 04:48:57,2016-07-15 05:47:13,"04:48:57","05:47:13"
"163",5988,"Airport",17,"Trip Completed",2016-07-15 11:48:32,2016-07-15 12:55:02,"11:48:32","12:55:02"
"164",6477,"Airport",17,"Trip Completed",2016-07-15 20:21:26,2016-07-15 21:00:31,"20:21:26","21:00:31"
"165",499,"City",18,"Trip Completed",2016-07-11 09:39:00,2016-07-11 10:16:00,"09:39:00","10:16:00"
"166",1147,"Airport",18,"Trip Completed",2016-07-11 20:42:00,2016-07-11 21:18:00,"20:42:00","21:18:00"
"167",1410,"Airport",18,"Trip Completed",2016-07-12 03:14:00,2016-07-12 04:27:00,"03:14:00","04:27:00"
"168",1804,"Airport",18,"Trip Completed",2016-07-12 09:12:00,2016-07-12 09:57:00,"09:12:00","09:57:00"
"169",1949,"Airport",18,"Trip Completed",2016-07-12 11:32:00,2016-07-12 12:13:00,"11:32:00","12:13:00"
"170",2713,"City",18,"Trip Completed",2016-07-13 01:46:42,2016-07-13 02:37:08,"01:46:42","02:37:08"
"171",2845,"City",18,"Trip Completed",2016-07-13 05:28:29,2016-07-13 06:10:40,"05:28:29","06:10:40"
"172",3943,"Airport",18,"Trip Completed",2016-07-13 22:35:38,2016-07-13 23:33:20,"22:35:38","23:33:20"
"173",4792,"City",18,"Trip Completed",2016-07-14 16:47:15,2016-07-14 17:34:39,"16:47:15","17:34:39"
"174",5207,"Airport",18,"Trip Completed",2016-07-14 20:57:41,2016-07-14 21:56:21,"20:57:41","21:56:21"
"175",5890,"City",18,"Trip Completed",2016-07-15 09:43:57,2016-07-15 10:55:22,"09:43:57","10:55:22"
"176",494,"City",19,"Trip Completed",2016-07-11 09:36:00,2016-07-11 10:02:00,"09:36:00","10:02:00"
"177",1485,"City",19,"Trip Completed",2016-07-12 05:21:00,2016-07-12 06:35:00,"05:21:00","06:35:00"
"178",2042,"City",19,"Trip Completed",2016-07-12 14:30:00,2016-07-12 15:09:00,"14:30:00","15:09:00"
"179",2561,"Airport",19,"Trip Completed",2016-07-12 21:29:00,2016-07-12 22:44:00,"21:29:00","22:44:00"
"180",3813,"Airport",19,"Trip Completed",2016-07-13 21:06:57,2016-07-13 21:46:24,"21:06:57","21:46:24"
"181",4260,"Airport",19,"Trip Completed",2016-07-14 06:11:51,2016-07-14 06:59:46,"06:11:51","06:59:46"
"182",4395,"City",19,"Trip Completed",2016-07-14 08:00:15,2016-07-14 08:54:39,"08:00:15","08:54:39"
"183",5919,"City",19,"Trip Completed",2016-07-15 10:03:42,2016-07-15 10:59:27,"10:03:42","10:59:27"
"184",6002,"Airport",19,"Trip Completed",2016-07-15 12:04:15,2016-07-15 12:53:36,"12:04:15","12:53:36"
"185",468,"City",20,"Trip Completed",2016-07-11 09:20:00,2016-07-11 10:05:00,"09:20:00","10:05:00"
"186",693,"Airport",20,"Trip Completed",2016-07-11 13:51:00,2016-07-11 15:01:00,"13:51:00","15:01:00"
