"","Request.id","Pickup.point","Driver.id","Status","Request.timestamp","Drop.timestamp","Request.Time","Drop.Time","Travel_Time"
"1",619,"Airport",1,"Trip Completed",2016-07-11 11:51:00,2016-07-11 13:00:00,"11:51:00","13:00:00",69
"2",867,"Airport",1,"Trip Completed",2016-07-11 17:57:00,2016-07-11 18:47:00,"17:57:00","18:47:00",50
"3",1807,"City",1,"Trip Completed",2016-07-12 09:17:00,2016-07-12 09:58:00,"09:17:00","09:58:00",41
"4",2532,"Airport",1,"Trip Completed",2016-07-12 21:08:00,2016-07-12 22:03:00,"21:08:00","22:03:00",55
"5",3112,"City",1,"Trip Completed",2016-07-13 08:33:16,2016-07-13 09:25:47,"08:33:16","09:25:47",52.5166666666667
"6",3879,"Airport",1,"Trip Completed",2016-07-13 21:57:28,2016-07-13 22:28:59,"21:57:28","22:28:59",31.5166666666667
"7",4270,"Airport",1,"Trip Completed",2016-07-14 06:15:32,2016-07-14 07:13:15,"06:15:32","07:13:15",57.7166666666667
"8",5510,"Airport",1,"Trip Completed",2016-07-15 05:11:52,2016-07-15 06:07:52,"05:11:52","06:07:52",56
"9",6248,"City",1,"Trip Completed",2016-07-15 17:57:27,2016-07-15 18:50:51,"17:57:27","18:50:51",53.4
"10",267,"City",2,"Trip Completed",2016-07-11 06:46:00,2016-07-11 07:25:00,"06:46:00","07:25:00",39
"11",1467,"Airport",2,"Trip Completed",2016-07-12 05:08:00,2016-07-12 06:02:00,"05:08:00","06:02:00",54
"12",1983,"City",2,"Trip Completed",2016-07-12 12:30:00,2016-07-12 12:57:00,"12:30:00","12:57:00",27
"13",2784,"Airport",2,"Trip Completed",2016-07-13 04:49:20,2016-07-13 05:23:03,"04:49:20","05:23:03",33.7166666666667
"14",3075,"City",2,"Trip Completed",2016-07-13 08:02:53,2016-07-13 09:16:19,"08:02:53","09:16:19",73.4333333333333
"15",3379,"City",2,"Trip Completed",2016-07-13 14:23:02,2016-07-13 15:35:18,"14:23:02","15:35:18",72.2666666666667
"16",3482,"Airport",2,"Trip Completed",2016-07-13 17:23:18,2016-07-13 18:20:51,"17:23:18","18:20:51",57.55
"17",4652,"City",2,"Trip Completed",2016-07-14 12:01:02,2016-07-14 12:36:46,"12:01:02","12:36:46",35.7333333333333
"18",5335,"Airport",2,"Trip Completed",2016-07-14 22:24:13,2016-07-14 23:18:52,"22:24:13","23:18:52",54.65
"19",535,"Airport",3,"Trip Completed",2016-07-11 10:00:00,2016-07-11 10:31:00,"10:00:00","10:31:00",31
"20",960,"Airport",3,"Trip Completed",2016-07-11 18:45:00,2016-07-11 19:23:00,"18:45:00","19:23:00",38
"21",1934,"Airport",3,"Trip Completed",2016-07-12 11:17:00,2016-07-12 12:23:00,"11:17:00","12:23:00",66
"22",2083,"Airport",3,"Trip Completed",2016-07-12 15:46:00,2016-07-12 16:40:00,"15:46:00","16:40:00",54
"23",2211,"Airport",3,"Trip Completed",2016-07-12 18:00:00,2016-07-12 18:28:00,"18:00:00","18:28:00",28
"24",3096,"Airport",3,"Trip Completed",2016-07-13 08:17:29,2016-07-13 09:22:37,"08:17:29","09:22:37",65.1333333333333
"25",3881,"Airport",3,"Trip Completed",2016-07-13 21:54:18,2016-07-13 22:51:23,"21:54:18","22:51:23",57.0833333333333
"26",5254,"City",3,"Trip Completed",2016-07-14 21:23:03,2016-07-14 22:25:19,"21:23:03","22:25:19",62.2666666666667
"27",5434,"City",3,"Trip Completed",2016-07-15 02:41:38,2016-07-15 03:24:43,"02:41:38","03:24:43",43.0833333333333
